reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,reset pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,eps pic,relay pic,relay pic,relay pic,relay pic,relay pic,relay pic,relay pic,relay pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,adcs pic,com pic,com pic,com pic,com pic,com pic,com pic,com pic,OBC pic,OBC pic,OBC pic,OBC pic,OBC pic,OBC pic,OBC pic,sync_code
timestamp_reset,year,month,day,hour,minute,second,voltage_raw_power,current_3v3_1,current_3v3_2,current_5v0,current_unreg1,current_unreg2,current_unreg3,current_12v,power_line_status,status_main_pic,timestamp_fab,temp_minus_y,temp_plus_x,temp_minus_x,temp_dsap_plus_x,temp_dsap_minus_x,temp_plus_y,temp_bpb,no_data_1,no_data_2,no_data_3,voltage_BCR_1,voltage_BCR_2,voltage_BCR_3,current_minus_y,current_dsap_plus_x_3s3p,current_dsap_plus_x_3s2p,current_dsap_minus_x_3s2p,current_dsap_minus_x_3s3p,current_bm_plus_x,current_bm_minus_x,current_heater,voltage_raw,voltage_battery,current_raw,current_battery,temp_battery,heater_status,kill_switch_status,temp_heater_ref,voltage_heater_ref,timestamp_pcib,temp_pl_1,temp_pl_2,temp_pl_3,payload_heater_status,payload_heater_sensor_config,status_tk_px,status_tk_mx,timestamp_adcs,3V3 status,12V low power status,12V high power status,12VH current,12VL current,Boot Relay Status,Watchdog Reset Enable Status,Watchdog Reset Event Status,Processor reset arm status,TAI_SECONDS,GPS_VALID,REFS_VALID,EARTH_PENUMBRA_UMBRA,MAG_SOURCE_USED,ATT_STATUS,ID_STATUS,NUM_ATTITUDE_STARS,INERTIA_INDEX,SUN_POINT_STATE,CMD_ACCEPT_COUNT,CMD_REJECT_COUNT,POSITION_WRT_ECI_1,POSITION_WRT_ECI_2,POSITION_WRT_ECI_3,VELOCITY_WRT_ECI_1,VELOCITY_WRT_ECI_2,VELOCITY_WRT_ECI_3,MAG_MODEL_VECTOR_BODY_1,MAG_MODEL_VECTOR_BODY_2,MAG_MODEL_VECTOR_BODY_3,MAG_POWER_STATE,MAG_VECTOR_VALID,MAG_VECTOR_ENABLED,MAG_TEST_MODE,MAG_SENSOR_USED,SUN_VECTOR_BODY_1,SUN_VECTOR_BODY_2,SUN_VECTOR_BODY_3,CSS_POWER_STATE,MEAS_SUN_VALID,SUN_VECTOR_ENABLED,CSS_TEST_MODE,SUN_SENSOR_USED,Q_BODY_WRT_ECI_1,Q_BODY_WRT_ECI_2,Q_BODY_WRT_ECI_3,Q_BODY_WRT_ECI_4,ATTITUDE_VALID,MEAS_ATT_VALID,MEAS_RATE_VALID,IMU_DATA_VALID,TRACKER_1DATA_VALID,BODY_RATE_1,BODY_RATE_2,BODY_RATE_3,OPERATING_MODE_1,OPERATING_MODE_2,OPERATING_MODE_3,FILTERED_SPEED_RPM_1,FILTERED_SPEED_RPM_2,FILTERED_SPEED_RPM_3,MOTOR_1TEMP,MOTOR_2TEMP,MOTOR_3TEMP,ADCS_MODE,RECOMMEND_SUN_POINT,SUN_POINT_REASON,ATT_CTRL_ACTIVE,MOMENTUM_TOO_HIGH,ON_SUN_FLAG,SUN_AVOID_FLAG,SUN_SOURCE_FAILOVER,SUN_POINT_ANGLE_ERROR,EIGEN_ERROR,timestamp_com,operation_mode,bitrate_setting,test_mode,temp_stx,sband_rx_rssi,freq_err,number_scheduled_command_legacy,number_scheduled_command_flash,obc_mode,subsystem_communication,status_ocp,hours_after_reset,timestamp_obc,sync_code
12,21,1,1,0,0,3,3251,28,107,8,30,7,0,8,227,1,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4095,4095,4095,0,17,1,1,3,1,1,1,248,8,0,1,0,1,35192832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,1,3,3,0,1609459216,45067
15,21,1,1,0,0,21,3243,27,107,9,43,6,168,9,231,1,12,1229,1665,1840,1912,1937,1942,1478,0,0,0,652,504,558,19,20,21,18,16,20,20,464,3265,3269,571,1896,2070,0,17,3145,3103,8,4095,4095,4095,0,17,1,1,4,1,1,1,248,8,0,1,0,1,35192832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,1,4,3,0,1609459236,45067
14,21,1,1,0,0,42,3241,28,105,7,42,6,164,7,231,1,11,1227,1672,1841,1910,1938,1942,1475,0,0,0,651,504,558,20,21,22,17,17,20,19,487,3263,3271,570,1895,2073,0,17,3072,0,8,4095,4095,4095,0,17,1,1,2,1,1,1,248,8,0,1,0,1,35192832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,1,4,3,0,1609459256,45067
